date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:41	142626/142626	---M-Z	200	added ('OK')	text/html	etag:W/%226385701f2e46c12974276cd861513b00%22	https://yenmarket.vn/thit-cot-lech-ib-french-rack-khay-300g	D:/yenmarket/clone/yenmarket.vn/thit-cot-lech-ib-french-rack-khay-300g.html	(from https://yenmarket.vn/)
15:47:41	139880/139880	---M-Z	200	added ('OK')	text/html	etag:W/%22869e50cce6afbdf16b4e9ae65a2cce53%22	https://yenmarket.vn/ib-spare-ribs-xuong-suon-i-500gr-khay	D:/yenmarket/clone/yenmarket.vn/ib-spare-ribs-xuong-suon-i-500gr-khay.html	(from https://yenmarket.vn/)
15:47:42	136021/136021	---M-Z	200	added ('OK')	text/html	etag:W/%22db271dfb2782fecab7c9fe62e966b8e7%22	https://yenmarket.vn/ba-roi-cuon-iberico-roll-belly	D:/yenmarket/clone/yenmarket.vn/ba-roi-cuon-iberico-roll-belly.html	(from https://yenmarket.vn/)
15:47:42	159065/159065	---M-Z	200	added ('OK')	text/html	etag:W/%2206c4c9b69c8eff83b58a19b0a9c37e02%22	https://yenmarket.vn/hai-san-1	D:/yenmarket/clone/yenmarket.vn/hai-san-1.html	(from https://yenmarket.vn/)
15:47:42	129923/129923	---M-Z	200	added ('OK')	text/html	etag:W/%222961b9db5590b3f5d1a4ef62dcf33af3%22	https://yenmarket.vn/ca-hoi-nauy-tuoi-fillet-fresh-salmon-fillet-i-nauyi-1kg	D:/yenmarket/clone/yenmarket.vn/ca-hoi-nauy-tuoi-fillet-fresh-salmon-fillet-i-nauyi-1kg.html	(from https://yenmarket.vn/)
15:47:43	129587/129587	---M-Z	200	added ('OK')	text/html	etag:W/%22976e90bcbf6db812d1c4ec590331ccfa%22	https://yenmarket.vn/xuong-ca-hoi-nauy-dong-lanh-1kg	D:/yenmarket/clone/yenmarket.vn/xuong-ca-hoi-nauy-dong-lanh-1kg.html	(from https://yenmarket.vn/)
15:47:43	128749/128749	---M-Z	200	added ('OK')	text/html	etag:W/%22c53142e4762c3f030093705effd3c7c5%22	https://yenmarket.vn/duoi-ca-hoi-fillet-nauy-salmon-tail-fillet	D:/yenmarket/clone/yenmarket.vn/duoi-ca-hoi-fillet-nauy-salmon-tail-fillet.html	(from https://yenmarket.vn/)
15:47:43	132140/132140	---M-Z	200	added ('OK')	text/html	etag:W/%227034bb9c95cc64255db468e2856e2592%22	https://yenmarket.vn/trung-ca-hoi-ikura	D:/yenmarket/clone/yenmarket.vn/trung-ca-hoi-ikura.html	(from https://yenmarket.vn/)
15:47:44	128227/128227	---M-Z	200	added ('OK')	text/html	etag:W/%22bb086b4e5d0a3b0fb1c0a022f9d87dc7%22	https://yenmarket.vn/ca-hoi-nauy-tuoi-nguyen-con-salmon	D:/yenmarket/clone/yenmarket.vn/ca-hoi-nauy-tuoi-nguyen-con-salmon.html	(from https://yenmarket.vn/)
15:47:44	128590/128590	---M-Z	200	added ('OK')	text/html	etag:W/%225c7e0859f675220d44465f6ac4f5475e%22	https://yenmarket.vn/ca-hoi-nauy-dong-lanh-frozen-salmon-1kg	D:/yenmarket/clone/yenmarket.vn/ca-hoi-nauy-dong-lanh-frozen-salmon-1kg.html	(from https://yenmarket.vn/)
15:47:44	126625/126625	---M-Z	200	added ('OK')	text/html	etag:W/%22ccfbd0a14ed12ad1a40cb2eac8b07eab%22	https://yenmarket.vn/luon-ca-hoi-tuoi-sake-harasu-i-nauy-i-1kg	D:/yenmarket/clone/yenmarket.vn/luon-ca-hoi-tuoi-sake-harasu-i-nauy-i-1kg.html	(from https://yenmarket.vn/)
15:47:45	104732/104732	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22448939784e28cff5b5edd96574092b93%22	https://yenmarket.vn/dau-ca-hoi	D:/yenmarket/clone/yenmarket.vn/dau-ca-hoi	(from https://yenmarket.vn/)
15:47:45	142192/142192	---M-Z	200	added ('OK')	text/html	etag:W/%2253161d57143a2ed51e4052d2a3c0c4f9%22	https://yenmarket.vn/bao-ngu-han-quoc	D:/yenmarket/clone/yenmarket.vn/bao-ngu-han-quoc.html	(from https://yenmarket.vn/)
15:47:45	140235/140235	---M-Z	200	added ('OK')	text/html	etag:W/%229b773e1ffb4039a748ef69da74872cfe%22	https://yenmarket.vn/ca-thu-dao-nhat-sanma	D:/yenmarket/clone/yenmarket.vn/ca-thu-dao-nhat-sanma.html	(from https://yenmarket.vn/)
15:47:46	139672/139672	---M-Z	200	added ('OK')	text/html	etag:W/%222d19acbf9fe66dd09a215e89b70b1bd3%22	https://yenmarket.vn/ca-saba-nauy	D:/yenmarket/clone/yenmarket.vn/ca-saba-nauy.html	(from https://yenmarket.vn/)
15:47:46	104732/104732	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2212c9b2d84331d22aa5ca0125d45362d4%22	https://yenmarket.vn/engawa-vay-ca-bon-i-500gr	D:/yenmarket/clone/yenmarket.vn/engawa-vay-ca-bon-i-500gr	(from https://yenmarket.vn/)
15:47:46	142598/142598	---M-Z	200	added ('OK')	text/html	etag:W/%22a2b9bef544050ad21416554abf7623d2%22	https://yenmarket.vn/so-diep-tuoi-nama-hottate-i-nhat-ban-i-1kg	D:/yenmarket/clone/yenmarket.vn/so-diep-tuoi-nama-hottate-i-nhat-ban-i-1kg.html	(from https://yenmarket.vn/)
15:47:47	140682/140682	---M-Z	200	added ('OK')	text/html	etag:W/%22caa023c07ed4aac66eaa442b4bb2b0a3%22	https://yenmarket.vn/ca-tuyet-gindara	D:/yenmarket/clone/yenmarket.vn/ca-tuyet-gindara.html	(from https://yenmarket.vn/)
15:47:47	138951/138951	---M-Z	200	added ('OK')	text/html	etag:W/%222406b7edba4aa37b935180910b3c2f50%22	https://yenmarket.vn/coi-so-diep-indo-i-300gr	D:/yenmarket/clone/yenmarket.vn/coi-so-diep-indo-i-300gr.html	(from https://yenmarket.vn/)
15:47:47	142012/142012	---M-Z	200	added ('OK')	text/html	etag:W/%226cf7b8b7e1ddbe9f5caa0755f0bbbdfe%22	https://yenmarket.vn/so-do-nhat-hokkigai-100gr	D:/yenmarket/clone/yenmarket.vn/so-do-nhat-hokkigai-100gr.html	(from https://yenmarket.vn/)
15:47:48	138733/138733	---M-Z	200	added ('OK')	text/html	etag:W/%221a7d454b44fd10b98d8a84b9157974ed%22	https://yenmarket.vn/tom-ngot-koebi-amaebiko-i-1kg	D:/yenmarket/clone/yenmarket.vn/tom-ngot-koebi-amaebiko-i-1kg.html	(from https://yenmarket.vn/)
